ind                                         , descr                                                                                                                                                                                                                                               , type                                   , formula                                                                                                                                        , 
Simple Moving Average (MA)                  , helps smooth out the price data by creating a constantly updated average price.                                                                                                                                                                     , Trend Indicator                        , =(P1 + P2 + P3 + ... + Pn)/n where n is the number of candles back
Exponential Moving Average (EMA)            , helps smooth out the price data by creating a constantly updated average price that is given more weight to recent prices.                                                                                                                          , Trend Indicator                        , =(Vt * (s/(1+d))) + EMAy * (1 - (s/(1+d))) where Vt is today's price s is the smoothing factor d is the num of days and EMAy is yesterday's EMA
Moving Average Convergence Divergence (MACD), a trend-following momentum indicator that shows the relationship between two exponential moving averages (EMAs) of a security's price to help investors identify price trends measure trend momentum and identify entry points for buying or selling, Trend Indicator                        , = 12 Period EMA - 26 Period EMA
Parabolic Stop and Reverse (PSR)            , a popular indicator that is mainly used by traders to determine the future short-term momentum of a given asset and is useful to fine tune stop orders                                                                                              , Trend Indicator                        , 
Average Directional Index (ADX)             , determines the strength of a financial security's price trend. It helps reduce risk and increase profit potential by trading in the direction of a strong trend                                                                                     , Trend Indicator                        , 
Relative Strength Index (RSI)               , measures the speed and magnitude of a security's recent price changes to detect overbought or oversold conditions in the price of that security.                                                                                                    , Momentum Indicator                     , 
Stochastic Oscillator                       , comparing a particular closing price of a security to a range of its prices over a certain period of time. It is used to generate overbought and oversold trading signals utilizing a 0-100 bounded range of values.                                , Momentum Indicator                     , 
Rate of Change                              , helps to spot security momentum and other trends a security with high momentum (or one that has a positive ROC) normally outperforms the market in the short term.                                                                                  , Momentum Indicator                     , 
Commodity Channel Index (CCI)               , determine overbought and oversold levels. The CCI does this by measuring the relation between price and a moving average (MA)                                                                                                                       , Momentum Indicator                     , 
Williams %R                                 , helps with finding entry and exit values ranging from 0 to -100 and identifies overbought and oversold levels                                                                                                                                       , Momentum Indicator                     , 
Bolinger Bands                              , Uses a moving average and standard deviation to show volatility and potential price extremes.                                                                                                                                                       , Volatility Indicator                   , 
Average True Range (ATR)                    , measures market volatility by decomposing the entire range of an asset price for that period.                                                                                                                                                       , Volatility Indicator                   , 
Keltner Channels                            , a volatility-based metric that identifies an upper and lower boundary for price movements.                                                                                                                                                          , Volatility Indicator                   , 
On Balance Volume                           , measures positive and negative volume flow. Detects major moves in the market.                                                                                                                                                                      , Volume Indicator                       , 
Chaikin Money Flow                          , Measure accumulation/distribution based on volume and price.                                                                                                                                                                                        , Volume Indicator                       , 
Volume Weighted Average Price               , Average price a security has traded throughout a day based on volume and price. Resets every day.                                                                                                                                                   , Volume Indicator                       , 
Fibonacci Retracement                       , Helps identify potential support and resistance zones during pullbacks.                                                                                                                                                                             , Support/Resistance and Market Structure, 
Pivot points                                , Identifies key points where activity can happen. These are classified as support and resistance levels.                                                                                                                                             , Support/Resistance and Market Structure, 
Ichimoku Cloud                              , Forward looking indicator that projects possible future support and resistance levels as well as future trend strength.                                                                                                                             , Others/Composite Indicators
Donchian Channels                           , Determines relative volatility and potential for price to break out of trends.                                                                                                                                                                      , Others/Composite Indicators            , 

